input_raw,input,output,output_raw
quán đẹp mang phong cách cổ xưa đồng phục đẹp phục vụ là con trai rất nhiều và cũng rất đẹp😄😄😄 đồ ăn trang trí đẹp có nhiều món để chọn và bắt mắt,quán đẹp mang phong cách cổ xưa đồng phục đẹp phục vụ là con trai rất nhiều và cũng rất tốt tốt tốt đồ ăn trang trí đẹp có nhiều món để chọn và bắt mắt,dịch vụ tốt vì phục vụ nhiều và lựa chọn đồ ăn tốt vì đồ ăn trang trí đẹp và không gian tạm vì phong cách cổ xưa và vấn đề khác tốt vì đồng phục đẹp và nhà hàng nói chung tốt vì quán đẹp và dịch vụ tốt vì phục vụ đẹp và lựa chọn đồ ăn tốt vì món nhiều và lựa chọn đồ ăn tốt vì món bắt mắt,"{SERVICE#GENERAL,phục vụ,positive,nhiều}; {FOOD#STYLE&OPTIONS,đồ ăn trang trí,positive,đẹp}; {AMBIENCE#GENERAL,phong cách,neutral,cổ xưa}; {RESTAURANT#MISCELLANEOUS,đồng phục,positive,đẹp}; {RESTAURANT#GENERAL,quán,positive,đẹp}; {SERVICE#GENERAL,phục vụ,positive,đẹp}; {FOOD#STYLE&OPTIONS,món,positive,nhiều}; {FOOD#STYLE&OPTIONS,món,positive,bắt mắt}"
giá cả theo mình nghĩ là vừa phải không quá mắc không gian quán sạch sẽ đầy đủ ánh sáng chỉ có là nhân viên hay quên mình order món này thì lại đem ra món khác có lẽ do đông khách,giá cả theo mình nghĩ là vừa phải không quá mắc không gian quán sạch sẽ đầy đủ ánh sáng chỉ có là nhân viên hay quên mình order món này thì lại đem ra món khác có lẽ do đông khách,dịch vụ tệ vì nhân viên #tệ và giá tiền nhà hàng tạm vì giá cả vừa phải và không gian tốt vì không gian sạch sẽ và nhà hàng nói chung tạm vì nó đông và không gian tốt vì ánh sáng đầy đủ,"{SERVICE#GENERAL,nhân viên,negative,null}; {RESTAURANT#PRICES,giá cả,neutral,vừa phải}; {AMBIENCE#GENERAL,không gian,positive,sạch sẽ}; {RESTAURANT#GENERAL,null,neutral,đông}; {AMBIENCE#GENERAL,ánh sáng,positive,đầy đủ}"
lâu kg ăn tại đây chất lượng vẫn ngon hải sản đa dạng nhà hàng sang trọng sạch sẽ theo mình thì giá bình thường so với chất lượng giữ xe miễn phí nếu đóng dấu nhà hàng,lâu không ăn tại đây chất lượng vẫn ngon hải sản đa dạng nhà hàng sang trọng sạch sẽ theo mình thì giá bình thường so với chất lượng giữ xe miễn phí nếu đóng dấu nhà hàng,chất lượng đồ ăn tốt vì chất lượng ngon và lựa chọn đồ ăn tốt vì hải sản đa dạng và giá tiền nhà hàng tạm vì giá bình thường và vấn đề khác tốt vì giữ xe miễn phí và không gian tốt vì nhà hàng sang trọng sạch sẽ,"{FOOD#QUALITY,chất lượng,positive,ngon}; {FOOD#STYLE&OPTIONS,hải sản,positive,đa dạng}; {RESTAURANT#PRICES,giá,neutral,bình thường}; {RESTAURANT#MISCELLANEOUS,giữ xe,positive,miễn phí}; {AMBIENCE#GENERAL,nhà hàng,positive,sang trọng sạch sẽ}"
đồ ăn ngon đa dạng tươi nhất mình từng ăn đồng thời giá cũng cao muốn ăn no chi phí 1 người là khoảng 1tr,đồ ăn ngon đa dạng tươi nhất mình từng ăn đồng thời giá cũng cao muốn ăn no chi phí num người là khoảng num tr,chất lượng đồ ăn tốt vì đồ ăn ngon và lựa chọn đồ ăn tốt vì đồ ăn tươi và lựa chọn đồ ăn tốt vì đồ ăn đa dạng và giá tiền nhà hàng tệ vì giá cao và giá tiền nhà hàng tạm vì chi phí #tạm,"{FOOD#QUALITY,đồ ăn,positive,ngon}; {FOOD#STYLE&OPTIONS,đồ ăn,positive,tươi}; {FOOD#STYLE&OPTIONS,đồ ăn,positive,đa dạng}; {RESTAURANT#PRICES,giá,negative,cao}; {RESTAURANT#PRICES,chi phí,neutral,null}"
mặc dù giá buffet thuộc tầm cao nhưng ở lại ngay trung tâm thành phố đồ ăn rất ngon hải sản nhiều loại có cả tôm hùm nữa thì đáng để trải nghiệm khi có cơ hội,mặc dù giá bufet thuộc tầm cao nhưng ở lại ngay trung tâm thành phố đồ ăn rất ngon hải sản nhiều loại có cả tôm hùm nữa thì đáng để trải nghiệm khi có cơ hội,chất lượng đồ ăn tốt vì đồ ăn ngon và lựa chọn đồ ăn tốt vì hải sản nhiều loại và giá tiền nhà hàng tệ vì giá buffet cao và địa chỉ tạm vì nó ngay trung tâm và địa chỉ tốt vì nó ngay trung tâm,"{FOOD#QUALITY,đồ ăn,positive,ngon}; {FOOD#STYLE&OPTIONS,hải sản,positive,nhiều loại}; {RESTAURANT#PRICES,giá buffet,negative,cao}; {LOCATION#GENERAL,null,neutral,ngay trung tâm}; {LOCATION#GENERAL,null,positive,ngay trung tâm}"
"quán đẹp, thức ăn ngon, giá rẻ , tuy nhiên đường vào hơi nhỏ va ngoằn nghèo","quán đẹp , thức ăn ngon , giá rẻ , tuy nhiên đường vào hơi nhỏ va ngoằn nghèo",chất lượng đồ ăn tốt vì thức ăn ngon và nhà hàng nói chung tốt vì quán đẹp và giá tiền đồ ăn tốt vì giá rẻ và địa chỉ tệ vì đường vào nhỏ và địa chỉ tệ vì đường vào ngoằn nghèo,"{FOOD#QUALITY,thức ăn,positive,ngon}; {RESTAURANT#GENERAL,quán,positive,đẹp}; {FOOD#PRICES,giá,positive,rẻ}; {LOCATION#GENERAL,đường vào,negative,nhỏ}; {LOCATION#GENERAL,đường vào,negative,ngoằn nghèo}"
không gian quán ấm cúng nhưng quán đông nên gọi món hơi lâu,không gian quán ấm cúng nhưng quán đông nên gọi món hơi lâu,dịch vụ tệ vì gọi món lâu và không gian tốt vì không gian ấm cúng và nhà hàng nói chung tạm vì quán đông,"{SERVICE#GENERAL,gọi món,negative,lâu}; {AMBIENCE#GENERAL,không gian,positive,ấm cúng}; {RESTAURANT#GENERAL,quán,neutral,đông}"
đồ ăn được giá cao nhưng không vấn đề so với địa thế của quán nhưng cái đáng bàn là chất lượng phục vụ có 4 điểm trừ lớn,đồ ăn được giá cao nhưng không vấn đề so với địa thế của quán nhưng cái đáng bàn là chất lượng phục vụ có num điểm trừ lớn,dịch vụ tệ vì chất lượng phục vụ #tệ và chất lượng đồ ăn tạm vì đồ ăn được và giá tiền đồ ăn tệ vì giá cao,"{SERVICE#GENERAL,chất lượng phục vụ,negative,null}; {FOOD#QUALITY,đồ ăn,neutral,được}; {FOOD#PRICES,giá,negative,cao}"
đồ ăn ở đây ok không gian quán cũng dc mình và bạn mình kết nhất món cơm trộn,đồ ăn ở đây ok không gian quán cũng được mình và bạn mình kết nhất món cơm trộn,chất lượng đồ ăn tạm vì đồ ăn ok và không gian tạm vì không gian dc và chất lượng đồ ăn tốt vì món cơm trộn #tốt,"{FOOD#QUALITY,đồ ăn,neutral,ok}; {AMBIENCE#GENERAL,không gian,neutral,dc}; {FOOD#QUALITY,món cơm trộn,positive,null}"
về món ăn thì ngon rồi nhưng cần chỉnh sửa cách phục vụ ở đây !,về món ăn thì ngon rồi nhưng cần chỉnh sửa cách phục vụ ở đây !,dịch vụ tệ vì cách phục vụ #tệ và chất lượng đồ ăn tốt vì món ăn ngon,"{SERVICE#GENERAL,cách phục vụ,negative,null}; {FOOD#QUALITY,món ăn,positive,ngon}"
chất lượng ngon dễ ăn không gian hơi ồn ào,chất lượng ngon dễ ăn không gian hơi ồn ào,chất lượng đồ ăn tốt vì chất lượng ngon dễ ăn và không gian tệ vì không gian ồn ào,"{FOOD#QUALITY,chất lượng,positive,ngon dễ ăn}; {AMBIENCE#GENERAL,không gian,negative,ồn ào}"
đồ ăn chất lượng ko gian ấm cúng sang trọng mặc dù hơi hẹp chút,đồ ăn chất lượng không gian ấm cúng sang trọng mặc dù hơi hẹp chút,chất lượng đồ ăn tốt vì đồ ăn chất lượng và không gian tệ vì ko gian hẹp và không gian tốt vì ko gian ấm cúng sang trọng,"{FOOD#QUALITY,đồ ăn,positive,chất lượng}; {AMBIENCE#GENERAL,ko gian,negative,hẹp}; {AMBIENCE#GENERAL,ko gian,positive,ấm cúng sang trọng}"
quán mì cay ngon nhất mà mình từng ăn ở đà nẵng nhưng quán cần xem lại vấn đề vệ sinh và nhân viên,quán mì cay ngon nhất mà mình từng ăn ở đà nẵng nhưng quán cần xem lại vấn đề vệ sinh và nhân viên,nhà hàng nói chung tốt vì quán ngon và dịch vụ tệ vì nhân viên #tệ và vấn đề khác tệ vì vệ sinh #tệ,"{RESTAURANT#GENERAL,quán,positive,ngon}; {SERVICE#GENERAL,nhân viên,negative,null}; {RESTAURANT#MISCELLANEOUS,vệ sinh,negative,null}"
giá hơi cao nhưng chất lượng món ăn nhiều nên no căng bụng luôn,giá hơi cao nhưng chất lượng món ăn nhiều nên no căng bụng luôn,chất lượng đồ ăn tốt vì nó chất lượng và lựa chọn đồ ăn tốt vì món ăn nhiều và giá tiền nhà hàng tệ vì giá cao,"{FOOD#QUALITY,null,positive,chất lượng}; {FOOD#STYLE&OPTIONS,món ăn,positive,nhiều}; {RESTAURANT#PRICES,giá,negative,cao}"
mình ăn nhiều nơi tương tự nhưng ok nhất là ở đây giá cả phải chăng đồ ăn lại ngon không gian có hơi nhỏ 1 chút,mình ăn nhiều nơi tương tự nhưng ok nhất là ở đây giá cả phải chăng đồ ăn lại ngon không gian có hơi nhỏ num chút,chất lượng đồ ăn tốt vì đồ ăn ngon và giá tiền nhà hàng tạm vì giá cả phải chăng và không gian tệ vì không gian nhỏ,"{FOOD#QUALITY,đồ ăn,positive,ngon}; {RESTAURANT#PRICES,giá cả,neutral,phải chăng}; {AMBIENCE#GENERAL,không gian,negative,nhỏ}"
mỳ ở đây ngon nhất chắc là mỳ khô sốt nấm ăn vừa miệng và đậm đà cực kỳ tuy nhiên giá hơi chát 72k một tô quá ít so với sức ăn của mình,mỳ ở đây ngon nhất chắc là mỳ khô sốt nấm ăn vừa miệng và đậm đà cực kỳ tuy nhiên giá hơi chát giá tiền một tô quá ít so với sức ăn của mình,chất lượng đồ ăn tốt vì mỳ khô sốt nấm đậm đà và lựa chọn đồ ăn tệ vì tô ít và giá tiền đồ ăn tệ vì giá chát và chất lượng đồ ăn tốt vì mỳ khô sốt nấm vừa miệng,"{FOOD#QUALITY,mỳ khô sốt nấm,positive,đậm đà}; {FOOD#STYLE&OPTIONS,tô,negative,ít}; {FOOD#PRICES,giá,negative,chát}; {FOOD#QUALITY,mỳ khô sốt nấm,positive,vừa miệng}"
và quán thì đông khách cực đông luôn nên order xong đợi rất lâu mới lên í,và quán thì đông khách cực đông luôn nên order xong đợi rất lâu mới lên í,nhà hàng nói chung tạm vì quán đông và dịch vụ tệ vì đợi lâu,"{RESTAURANT#GENERAL,quán,neutral,đông}; {SERVICE#GENERAL,đợi,negative,lâu}"
nhìn chung tầm giá không cao không gian thoải mái nhưng hơi nóng đồ ăn khá ngon,nhìn chung tầm giá không cao không gian thoải mái nhưng hơi nóng đồ ăn khá ngon,chất lượng đồ ăn tốt vì đồ ăn ngon và giá tiền nhà hàng tạm vì giá không cao và không gian tốt vì không gian thoải mái và không gian tệ vì không gian nóng,"{FOOD#QUALITY,đồ ăn,positive,ngon}; {RESTAURANT#PRICES,giá,neutral,không cao}; {AMBIENCE#GENERAL,không gian,positive,thoải mái}; {AMBIENCE#GENERAL,không gian,negative,nóng}"
sushi rất ngon giá cao nhưng cũng đáng tiền sashimi ăn cũng rất ngon nhé ăn quên mất chụp lại rồi 😜😜 có hai món mình thấy ko ngon chút nào là bánh xèo nhật và trứng hấp vị rất lạt lẽo,sushi rất ngon giá cao nhưng cũng đáng tiền sashimi ăn cũng rất ngon nhé ăn quên mất chụp lại rồi tốt tốt có hai món mình thấy không ngon chút nào là bánh xèo nhật và trứng hấp vị rất lạt lẽo,chất lượng đồ ăn tốt vì sushi ngon và giá tiền đồ ăn tệ vì giá cao và chất lượng đồ ăn tốt vì sashimi ngon và chất lượng đồ ăn tệ vì bánh xèo nhật ko ngon và chất lượng đồ ăn tệ vì trứng hấp lạt lẽo,"{FOOD#QUALITY,sushi,positive,ngon}; {FOOD#PRICES,giá,negative,cao}; {FOOD#QUALITY,sashimi,positive,ngon}; {FOOD#QUALITY,bánh xèo nhật,negative,ko ngon}; {FOOD#QUALITY,trứng hấp,negative,lạt lẽo}"
"Menu ở đây khá ít nhưng hương vị khá ổn, quan trọng là không gian đẹp, sạch sẽ và nhân viên chuyên nghiệp.","thực đơn ở đây khá ít nhưng hương vị khá ổn , quan trọng là không gian đẹp , sạch sẽ và nhân viên chuyên nghiệp .",dịch vụ tốt vì nhân viên chuyên nghiệp và chất lượng đồ ăn tốt vì hương vị khá ổn và lựa chọn đồ ăn tệ vì Menu ít và không gian tốt vì không gian đẹp và không gian tốt vì không gian sạch sẽ,"{SERVICE#GENERAL,nhân viên,positive,chuyên nghiệp}; {FOOD#QUALITY,hương vị,positive,khá ổn}; {FOOD#STYLE&OPTIONS,Menu,negative,ít}; {AMBIENCE#GENERAL,không gian,positive,đẹp}; {AMBIENCE#GENERAL,không gian,positive,sạch sẽ}"
lần thứ 2 quay lại đây vẫn không thất vọng cơm vẫn ổn từ vị sườn cho đến nước mắm chấm không gian thoáng và nhân viên đa số còn trẻ nên rất hoạt bát và thân thiện,lần thứ num quay lại đây vẫn không thất vọng cơm vẫn ổn từ vị sườn cho đến nước mắm chấm không gian thoáng và nhân viên đa số còn trẻ nên rất hoạt bát và thân thiện,dịch vụ tốt vì nhân viên hoạt bát và chất lượng đồ ăn tạm vì cơm ổn và không gian tốt vì không gian thoáng và dịch vụ tốt vì nhân viên thân thiện,"{SERVICE#GENERAL,nhân viên,positive,hoạt bát}; {FOOD#QUALITY,cơm,neutral,ổn}; {AMBIENCE#GENERAL,không gian,positive,thoáng}; {SERVICE#GENERAL,nhân viên,positive,thân thiện}"
thịt bò mình gọi 1 đĩa 600g ăn cũng tạm đc thịt khá dai và sốt k đậm đà gà chiên bơ ăn hơi cứng điểm trừ nhân viên phục vụ thái độ không hề niềm nở mặt lúc nào cũng không vui lóng ngóng khách kêu tính tiền mà cứ lơ ngơ đi luôn không buồn để ý,thịt bò mình gọi num đĩa num g ăn cũng tạm được thịt khá dai và sốt không đậm đà gà chiên bơ ăn hơi cứng điểm trừ nhân viên phục vụ thái độ không hề niềm nở mặt lúc nào cũng không vui lóng ngóng khách kêu tính tiền mà cứ lơ ngơ đi luôn không buồn để ý,dịch vụ tệ vì nhân viên phục vụ thái độ không hề niềm nở và chất lượng đồ ăn tạm vì thịt bò tạm đc và lựa chọn đồ ăn tạm vì thịt bò 600g và chất lượng đồ ăn tệ vì thịt dai và chất lượng đồ ăn tệ vì sốt k đậm đà và chất lượng đồ ăn tệ vì gà chiên bơ cứng,"{SERVICE#GENERAL,nhân viên phục vụ thái độ,negative,không hề niềm nở}; {FOOD#QUALITY,thịt bò,neutral,tạm đc}; {FOOD#STYLE&OPTIONS,thịt bò,neutral,600g}; {FOOD#QUALITY,thịt,negative,dai}; {FOOD#QUALITY,sốt,negative,k đậm đà}; {FOOD#QUALITY,gà chiên bơ,negative,cứng}"
nhân viên quán thân thiện chỗ để xe có vẻ hơi hạn chế không gian có vẻ hơi nhỏ nhưng rất thoải mái có thêm tầng 2 đấy ạ,nhân viên quán thân thiện chỗ để xe có vẻ hơi hạn chế không gian có vẻ hơi nhỏ nhưng rất thoải mái có thêm tầng num đấy ạ,dịch vụ tốt vì nhân viên thân thiện và vấn đề khác tệ vì chỗ để xe hạn chế và không gian tệ vì không gian nhỏ và không gian tốt vì không gian thoải mái,"{SERVICE#GENERAL,nhân viên,positive,thân thiện}; {RESTAURANT#MISCELLANEOUS,chỗ để xe,negative,hạn chế}; {AMBIENCE#GENERAL,không gian,negative,nhỏ}; {AMBIENCE#GENERAL,không gian,positive,thoải mái}"
đồ ăn theo mình đánh giá là k tươi được cái nêm gia vị vừa miệng,đồ ăn theo mình đánh giá là không tươi được cái nêm gia vị vừa miệng,lựa chọn đồ ăn tệ vì đồ ăn k tươi và chất lượng đồ ăn tốt vì nêm gia vị vừa miệng,"{FOOD#STYLE&OPTIONS,đồ ăn,negative,k tươi}; {FOOD#QUALITY,nêm gia vị,positive,vừa miệng}"
đồ ăn thì ngon giá vừa phải không gian tuy nhỏ nhưng ấm cúng,đồ ăn thì ngon giá vừa phải không gian tuy nhỏ nhưng ấm cúng,chất lượng đồ ăn tốt vì đồ ăn ngon và không gian tệ vì không gian nhỏ và giá tiền đồ ăn tạm vì giá vừa phải và không gian tốt vì không gian ấm cúng,"{FOOD#QUALITY,đồ ăn,positive,ngon}; {AMBIENCE#GENERAL,không gian,negative,nhỏ}; {FOOD#PRICES,giá,neutral,vừa phải}; {AMBIENCE#GENERAL,không gian,positive,ấm cúng}"
