input,aop,cap
củng không biết sao mà cứ thích cái nhà hàng này không gian tuy nhỏ nhưng ấm cúng nhân viên phục vụ dễ thương nhiệt tình món ăn thì dạo này ngon hơn lúc xưa nhiều chắc do đầu tư đầu bếp,"{nhân viên phục vụ,dễ thương nhiệt tình,positive};{món ăn,ngon,positive};{không gian,nhỏ,negative};{không gian,ấm cúng,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,món ăn,positive};{AMBIENCE#GENERAL,không gian,negative};{AMBIENCE#GENERAL,không gian,positive}"
bánh khoai môn ở jolibe cũng ngon và vẫn đặc trưng đó cỡ nhỏ hơn hẳn chỗ khác và rẻ hơn phục vụ cũng ok đợi món num p,"{phục vụ,ok,neutral};{bánh khoai môn,ngon,positive};{size,nhỏ,negative};{null,rẻ,positive};{đợi món,null,neutral};{bánh khoai môn,đặc trưng,positive}","{SERVICE#GENERAL,phục vụ,neutral};{FOOD#QUALITY,bánh khoai môn,positive};{FOOD#STYLE&OPTIONS,size,negative};{FOOD#PRICES,null,positive};{SERVICE#GENERAL,đợi món,neutral};{FOOD#QUALITY,bánh khoai môn,positive}"
cơm xèo cá hồi theo ý anh bạn đi chung nói là không ngon không gian rộng rãi nhưng máy lạnh tầng num gần cửa sổ không lạnh nổi hơi bị nóng cung cách phục vụ cũng được,"{cung cách phục vụ,cũng được,neutral};{cơm xèo cá hồi,không ngon,negative};{không gian,rộng rãi,positive};{máy lạnh,không lạnh,negative}","{SERVICE#GENERAL,cung cách phục vụ,neutral};{FOOD#QUALITY,cơm xèo cá hồi,negative};{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#MISCELLANEOUS,máy lạnh,negative}"
nhân viên lịch sự chu đáo không gian rộng rãi sang trọng lâu lâu gia đình cũng khá lí tưởng ăn no nê luôn vat và nước thì tổng mỗi đứa giá tiền nha,"{nhân viên,lịch sự chu đáo,positive};{null,null,neutral};{không gian,rộng rãi sang trọng,positive}","{SERVICE#GENERAL,nhân viên,positive};{RESTAURANT#PRICES,null,neutral};{AMBIENCE#GENERAL,không gian,positive}"
thực đơn đa dạng giá cả tương đối cao nhưng được quẹt em card nên không thành vấn đề,"{menu,đa dạng,positive};{giá cả,cao,negative};{null,null,positive}","{FOOD#STYLE&OPTIONS,menu,positive};{RESTAURANT#PRICES,giá cả,negative};{RESTAURANT#MISCELLANEOUS,null,positive}"
quán đẹp mang phong cách cổ xưa đồng phục đẹp phục vụ là con trai rất nhiều và cũng rất tốt tốt tốt đồ ăn trang trí đẹp có nhiều món để chọn và bắt mắt,"{phục vụ,nhiều,positive};{đồ ăn trang trí,đẹp,positive};{phong cách,cổ xưa,neutral};{đồng phục,đẹp,positive};{quán,đẹp,positive};{phục vụ,đẹp,positive};{món,nhiều,positive};{món,bắt mắt,positive}","{SERVICE#GENERAL,phục vụ,positive};{FOOD#STYLE&OPTIONS,đồ ăn trang trí,positive};{AMBIENCE#GENERAL,phong cách,neutral};{RESTAURANT#MISCELLANEOUS,đồng phục,positive};{RESTAURANT#GENERAL,quán,positive};{SERVICE#GENERAL,phục vụ,positive};{FOOD#STYLE&OPTIONS,món,positive};{FOOD#STYLE&OPTIONS,món,positive}"
giá cả theo mình nghĩ là vừa phải không quá mắc không gian quán sạch sẽ đầy đủ ánh sáng chỉ có là nhân viên hay quên mình order món này thì lại đem ra món khác có lẽ do đông khách,"{nhân viên,null,negative};{giá cả,vừa phải,neutral};{không gian,sạch sẽ,positive};{null,đông,neutral};{ánh sáng,đầy đủ,positive}","{SERVICE#GENERAL,nhân viên,negative};{RESTAURANT#PRICES,giá cả,neutral};{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#GENERAL,null,neutral};{AMBIENCE#GENERAL,ánh sáng,positive}"
lâu không ăn tại đây chất lượng vẫn ngon hải sản đa dạng nhà hàng sang trọng sạch sẽ theo mình thì giá bình thường so với chất lượng giữ xe miễn phí nếu đóng dấu nhà hàng,"{chất lượng,ngon,positive};{hải sản,đa dạng,positive};{giá,bình thường,neutral};{giữ xe,miễn phí,positive};{nhà hàng,sang trọng sạch sẽ,positive}","{FOOD#QUALITY,chất lượng,positive};{FOOD#STYLE&OPTIONS,hải sản,positive};{RESTAURANT#PRICES,giá,neutral};{RESTAURANT#MISCELLANEOUS,giữ xe,positive};{AMBIENCE#GENERAL,nhà hàng,positive}"
đồ ăn ngon đa dạng tươi nhất mình từng ăn đồng thời giá cũng cao muốn ăn no chi phí num người là khoảng num tr,"{đồ ăn,ngon,positive};{đồ ăn,tươi,positive};{đồ ăn,đa dạng,positive};{giá,cao,negative};{chi phí,null,neutral}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ ăn,positive};{RESTAURANT#PRICES,giá,negative};{RESTAURANT#PRICES,chi phí,neutral}"
mặc dù giá bufet thuộc tầm cao nhưng ở lại ngay trung tâm thành phố đồ ăn rất ngon hải sản nhiều loại có cả tôm hùm nữa thì đáng để trải nghiệm khi có cơ hội,"{đồ ăn,ngon,positive};{hải sản,nhiều loại,positive};{giá buffet,cao,negative};{null,ngay trung tâm,neutral};{null,ngay trung tâm,positive}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,hải sản,positive};{RESTAURANT#PRICES,giá buffet,negative};{LOCATION#GENERAL,null,neutral};{LOCATION#GENERAL,null,positive}"
"quán đẹp , thức ăn ngon , giá rẻ , tuy nhiên đường vào hơi nhỏ va ngoằn nghèo","{thức ăn,ngon,positive};{quán,đẹp,positive};{giá,rẻ,positive};{đường vào,nhỏ,negative};{đường vào,ngoằn nghèo,negative}","{FOOD#QUALITY,thức ăn,positive};{RESTAURANT#GENERAL,quán,positive};{FOOD#PRICES,giá,positive};{LOCATION#GENERAL,đường vào,negative};{LOCATION#GENERAL,đường vào,negative}"
không gian quán ấm cúng nhưng quán đông nên gọi món hơi lâu,"{gọi món,lâu,negative};{không gian,ấm cúng,positive};{quán,đông,neutral}","{SERVICE#GENERAL,gọi món,negative};{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#GENERAL,quán,neutral}"
đồ ăn được giá cao nhưng không vấn đề so với địa thế của quán nhưng cái đáng bàn là chất lượng phục vụ có num điểm trừ lớn,"{chất lượng phục vụ,null,negative};{đồ ăn,được,neutral};{giá,cao,negative}","{SERVICE#GENERAL,chất lượng phục vụ,negative};{FOOD#QUALITY,đồ ăn,neutral};{FOOD#PRICES,giá,negative}"
đồ ăn ở đây ok không gian quán cũng được mình và bạn mình kết nhất món cơm trộn,"{đồ ăn,ok,neutral};{không gian,dc,neutral};{món cơm trộn,null,positive}","{FOOD#QUALITY,đồ ăn,neutral};{AMBIENCE#GENERAL,không gian,neutral};{FOOD#QUALITY,món cơm trộn,positive}"
về món ăn thì ngon rồi nhưng cần chỉnh sửa cách phục vụ ở đây !,"{cách phục vụ,null,negative};{món ăn,ngon,positive}","{SERVICE#GENERAL,cách phục vụ,negative};{FOOD#QUALITY,món ăn,positive}"
chất lượng ngon dễ ăn không gian hơi ồn ào,"{chất lượng,ngon dễ ăn,positive};{không gian,ồn ào,negative}","{FOOD#QUALITY,chất lượng,positive};{AMBIENCE#GENERAL,không gian,negative}"
đồ ăn chất lượng không gian ấm cúng sang trọng mặc dù hơi hẹp chút,"{đồ ăn,chất lượng,positive};{ko gian,hẹp,negative};{ko gian,ấm cúng sang trọng,positive}","{FOOD#QUALITY,đồ ăn,positive};{AMBIENCE#GENERAL,ko gian,negative};{AMBIENCE#GENERAL,ko gian,positive}"
quán mì cay ngon nhất mà mình từng ăn ở đà nẵng nhưng quán cần xem lại vấn đề vệ sinh và nhân viên,"{quán,ngon,positive};{nhân viên,null,negative};{vệ sinh,null,negative}","{RESTAURANT#GENERAL,quán,positive};{SERVICE#GENERAL,nhân viên,negative};{RESTAURANT#MISCELLANEOUS,vệ sinh,negative}"
giá hơi cao nhưng chất lượng món ăn nhiều nên no căng bụng luôn,"{null,chất lượng,positive};{món ăn,nhiều,positive};{giá,cao,negative}","{FOOD#QUALITY,null,positive};{FOOD#STYLE&OPTIONS,món ăn,positive};{RESTAURANT#PRICES,giá,negative}"
mình ăn nhiều nơi tương tự nhưng ok nhất là ở đây giá cả phải chăng đồ ăn lại ngon không gian có hơi nhỏ num chút,"{đồ ăn,ngon,positive};{giá cả,phải chăng,neutral};{không gian,nhỏ,negative}","{FOOD#QUALITY,đồ ăn,positive};{RESTAURANT#PRICES,giá cả,neutral};{AMBIENCE#GENERAL,không gian,negative}"
mỳ ở đây ngon nhất chắc là mỳ khô sốt nấm ăn vừa miệng và đậm đà cực kỳ tuy nhiên giá hơi chát giá tiền một tô quá ít so với sức ăn của mình,"{mỳ khô sốt nấm,đậm đà,positive};{tô,ít,negative};{giá,chát,negative};{mỳ khô sốt nấm,vừa miệng,positive}","{FOOD#QUALITY,mỳ khô sốt nấm,positive};{FOOD#STYLE&OPTIONS,tô,negative};{FOOD#PRICES,giá,negative};{FOOD#QUALITY,mỳ khô sốt nấm,positive}"
và quán thì đông khách cực đông luôn nên order xong đợi rất lâu mới lên í,"{quán,đông,neutral};{đợi,lâu,negative}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,đợi,negative}"
nhìn chung tầm giá không cao không gian thoải mái nhưng hơi nóng đồ ăn khá ngon,"{đồ ăn,ngon,positive};{giá,không cao,neutral};{không gian,thoải mái,positive};{không gian,nóng,negative}","{FOOD#QUALITY,đồ ăn,positive};{RESTAURANT#PRICES,giá,neutral};{AMBIENCE#GENERAL,không gian,positive};{AMBIENCE#GENERAL,không gian,negative}"
sushi rất ngon giá cao nhưng cũng đáng tiền sashimi ăn cũng rất ngon nhé ăn quên mất chụp lại rồi tốt tốt có hai món mình thấy không ngon chút nào là bánh xèo nhật và trứng hấp vị rất lạt lẽo,"{sushi,ngon,positive};{giá,cao,negative};{sashimi,ngon,positive};{bánh xèo nhật,ko ngon,negative};{trứng hấp,lạt lẽo,negative}","{FOOD#QUALITY,sushi,positive};{FOOD#PRICES,giá,negative};{FOOD#QUALITY,sashimi,positive};{FOOD#QUALITY,bánh xèo nhật,negative};{FOOD#QUALITY,trứng hấp,negative}"
"thực đơn ở đây khá ít nhưng hương vị khá ổn , quan trọng là không gian đẹp , sạch sẽ và nhân viên chuyên nghiệp .","{nhân viên,chuyên nghiệp,positive};{hương vị,khá ổn,positive};{Menu,ít,negative};{không gian,đẹp,positive};{không gian,sạch sẽ,positive}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,hương vị,positive};{FOOD#STYLE&OPTIONS,Menu,negative};{AMBIENCE#GENERAL,không gian,positive};{AMBIENCE#GENERAL,không gian,positive}"
lần thứ num quay lại đây vẫn không thất vọng cơm vẫn ổn từ vị sườn cho đến nước mắm chấm không gian thoáng và nhân viên đa số còn trẻ nên rất hoạt bát và thân thiện,"{nhân viên,hoạt bát,positive};{cơm,ổn,neutral};{không gian,thoáng,positive};{nhân viên,thân thiện,positive}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,cơm,neutral};{AMBIENCE#GENERAL,không gian,positive};{SERVICE#GENERAL,nhân viên,positive}"
thịt bò mình gọi num đĩa num g ăn cũng tạm được thịt khá dai và sốt không đậm đà gà chiên bơ ăn hơi cứng điểm trừ nhân viên phục vụ thái độ không hề niềm nở mặt lúc nào cũng không vui lóng ngóng khách kêu tính tiền mà cứ lơ ngơ đi luôn không buồn để ý,"{nhân viên phục vụ thái độ,không hề niềm nở,negative};{thịt bò,tạm đc,neutral};{thịt bò,600g,neutral};{thịt,dai,negative};{sốt,k đậm đà,negative};{gà chiên bơ,cứng,negative}","{SERVICE#GENERAL,nhân viên phục vụ thái độ,negative};{FOOD#QUALITY,thịt bò,neutral};{FOOD#STYLE&OPTIONS,thịt bò,neutral};{FOOD#QUALITY,thịt,negative};{FOOD#QUALITY,sốt,negative};{FOOD#QUALITY,gà chiên bơ,negative}"
nhân viên quán thân thiện chỗ để xe có vẻ hơi hạn chế không gian có vẻ hơi nhỏ nhưng rất thoải mái có thêm tầng num đấy ạ,"{nhân viên,thân thiện,positive};{chỗ để xe,hạn chế,negative};{không gian,nhỏ,negative};{không gian,thoải mái,positive}","{SERVICE#GENERAL,nhân viên,positive};{RESTAURANT#MISCELLANEOUS,chỗ để xe,negative};{AMBIENCE#GENERAL,không gian,negative};{AMBIENCE#GENERAL,không gian,positive}"
đồ ăn theo mình đánh giá là không tươi được cái nêm gia vị vừa miệng,"{đồ ăn,k tươi,negative};{nêm gia vị,vừa miệng,positive}","{FOOD#STYLE&OPTIONS,đồ ăn,negative};{FOOD#QUALITY,nêm gia vị,positive}"
đồ ăn thì ngon giá vừa phải không gian tuy nhỏ nhưng ấm cúng,"{đồ ăn,ngon,positive};{không gian,nhỏ,negative};{giá,vừa phải,neutral};{không gian,ấm cúng,positive}","{FOOD#QUALITY,đồ ăn,positive};{AMBIENCE#GENERAL,không gian,negative};{FOOD#PRICES,giá,neutral};{AMBIENCE#GENERAL,không gian,positive}"
đúng phong cách bánh xèo đại lộc khá ngon mà phục vụ tệ quá,"{phục vụ,tệ,negative};{bánh xèo đại lộc,ngon,positive};{bánh xèo đại lộc,đúng phong cách,positive}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,bánh xèo đại lộc,positive};{FOOD#STYLE&OPTIONS,bánh xèo đại lộc,positive}"
lâu rồi mới đi ăn chay vô tình ghé quán mới biết là quán của ca sỹ phi nhung không gian ấm cúng đồ ăn ra rất nhanh cũng vừa miệng giá cả hợp lý phục vụ ổn sẽ ủng hộ thường xuyên,"{đồ ăn,vừa miệng,positive};{đồ ăn ra,nhanh,positive};{giá cả,hợp lý,positive};{không gian,ấm cúng,positive};{phục vụ,ổn,neutral}","{FOOD#QUALITY,đồ ăn,positive};{SERVICE#GENERAL,đồ ăn ra,positive};{RESTAURANT#PRICES,giá cả,positive};{AMBIENCE#GENERAL,không gian,positive};{SERVICE#GENERAL,phục vụ,neutral}"
món ăn thì rất ngon dù có hơi chậm chút xíu,"{món ăn,ngon,positive};{null,chậm,negative}","{FOOD#QUALITY,món ăn,positive};{SERVICE#GENERAL,null,negative}"
chất lượng ổn tuy nhiên giá thành không phải rẻ .,"{chất lượng,ổn,neutral};{giá thành,không phải rẻ,negative}","{RESTAURANT#GENERAL,chất lượng,neutral};{RESTAURANT#PRICES,giá thành,negative}"
"quán nằm trên tầng num , quang cảnh nhìn xuống đường khá ok , không gian ấm cúng , sạch sẽ .","{view,ok,neutral};{null,trên tầng 6,neutral};{không gian,sạch sẽ,positive};{không gian,ấm cúng,positive}","{LOCATION#GENERAL,view,neutral};{LOCATION#GENERAL,null,neutral};{AMBIENCE#GENERAL,không gian,positive};{AMBIENCE#GENERAL,không gian,positive}"
quán phục vụ nhanh nhưng trà chanh hết sớm quá,"{phục vụ,nhanh,positive};{trà chanh,null,negative}","{SERVICE#GENERAL,phục vụ,positive};{DRINKS#STYLE&OPTIONS,trà chanh,negative}"
"giao hàng vừa nhanh , chất lượng đồ uống ok , không đường , sữa và không chất bảo quản nên rất tốt cho sức khoẻ tốt .","{giao hàng,nhanh,positive};{chất lượng đồ uống,oke,neutral}","{SERVICE#GENERAL,giao hàng,positive};{DRINKS#QUALITY,chất lượng đồ uống,neutral}"
đã ăn ở quán rất nhiều lần chất lượng đồ ăn chưa bao giờ làm mình thất vọng tuy nhiên chi nhánh phạm ngọc thạch không gian nhỏ và hơi tối lại không thông thoáng lắm,"{chất lượng đồ ăn,null,positive};{không gian,nhỏ,negative};{không gian,tối,negative};{không gian,không thông thoáng,negative}","{FOOD#QUALITY,chất lượng đồ ăn,positive};{AMBIENCE#GENERAL,không gian,negative};{AMBIENCE#GENERAL,không gian,negative};{AMBIENCE#GENERAL,không gian,negative}"
thịt nướng ở gogi thì không có gì bàn cãi nhưng thái độ phục vụ của nhân viên ở chi nhánh này thì dở tệ,"{thái độ phục vụ,dở tệ,negative};{thịt nướng,null,positive}","{SERVICE#GENERAL,thái độ phục vụ,negative};{FOOD#QUALITY,thịt nướng,positive}"
"đồ ăn không ngon giá thì quá chát chúa , không bao giờ quay lại nơi này dù có cảnh đẹp","{đồ ăn,không ngon,negative};{giá,chát chúa,negative};{cảnh,đẹp,positive}","{FOOD#QUALITY,đồ ăn,negative};{FOOD#PRICES,giá,negative};{LOCATION#GENERAL,cảnh,positive}"
sản phẩm của các bạn dù có tốt nhưng dịch vụ tệ thì khách cũng sẽ không quay lại,"{sản phẩm,tốt,positive};{dịch vụ,tệ,negative}","{RESTAURANT#GENERAL,sản phẩm,positive};{SERVICE#GENERAL,dịch vụ,negative}"
đồ ăn bắt mắt nhưng nếm nếm càng ngày càng tệ .,"{nếm nếm,tệ,negative};{đồ ăn,bắt mắt,positive}","{FOOD#QUALITY,nếm nếm,negative};{FOOD#STYLE&OPTIONS,đồ ăn,positive}"
thực đơn đọc cũng hấp dẫn nhiều món chỉ có điều giá hơi cao,"{thực đơn,hấp dẫn,positive};{giá,cao,negative};{thực đơn,nhiều món,positive}","{FOOD#STYLE&OPTIONS,thực đơn,positive};{RESTAURANT#PRICES,giá,negative};{FOOD#STYLE&OPTIONS,thực đơn,positive}"
phần giá tiền tuy hơi ít thịt nhưng vẫn thơm mùi phô mai,"{null,thơm,positive};{thịt,ít,negative};{null,null,neutral}","{FOOD#QUALITY,null,positive};{FOOD#STYLE&OPTIONS,thịt,negative};{FOOD#PRICES,null,neutral}"
đồ ăn từng phần hơn đắt nhưng cũng khá ngon,"{đồ ăn,ngon,positive};{đồ ăn,đắt,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#PRICES,đồ ăn,negative}"
"quán bình dân nhưng đồ ăn rất ngon , phục vụ nhanh và nhiệt tình !","{quán,bình dân,neutral};{phục vụ,nhiệt tình,positive};{đồ ăn,ngon,positive};{phục vụ,nhanh,positive}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,phục vụ,positive};{FOOD#QUALITY,đồ ăn,positive};{SERVICE#GENERAL,phục vụ,positive}"
thức ăn cũng khá ngon nhưng mình thấy so với giá thì hơi ít,"{thức ăn,ngon,positive};{thức ăn,ít,negative}","{FOOD#QUALITY,thức ăn,positive};{FOOD#STYLE&OPTIONS,thức ăn,negative}"
nêm nếm cay đúng chất thái nêm nếm khá ngon vừa miệng món ăn đa dạng nên tha hồ lựa chọn thưởng thức có thức uống kèm chữa cháy giá cả đi đôi với chất lượng không đến nỗi quá đắt,"{nêm nếm,cay,positive};{món ăn,đa dạng,positive};{thức uống,null,positive};{giá cả,null,neutral};{nêm nếm,ngon,positive}","{FOOD#QUALITY,nêm nếm,positive};{FOOD#STYLE&OPTIONS,món ăn,positive};{DRINKS#STYLE&OPTIONS,thức uống,positive};{RESTAURANT#PRICES,giá cả,neutral};{FOOD#QUALITY,nêm nếm,positive}"
thực đơn cũng đa dạng lắm nhưng giá sẽ hơi cao,"{thực đơn,đa dạng,positive};{giá,cao,negative}","{FOOD#STYLE&OPTIONS,thực đơn,positive};{RESTAURANT#PRICES,giá,negative}"
chỉ có điều là món ăn hơi nhạt nước uống ngon nhưng giá cũng hơi chát,"{món ăn,nhạt,negative};{giá,chát,negative};{nước uống,ngon,positive}","{FOOD#QUALITY,món ăn,negative};{RESTAURANT#PRICES,giá,negative};{DRINKS#QUALITY,nước uống,positive}"
vào ngồi vừa chật vừa ồn ào tiếng người và tiếng trẻ con lại còn hôi thuốc lá gt về đồ ăn theo mình là giá cao nhưng ăn chất lượng đồ nhiều,"{đồ ăn,chất lượng,positive};{đồ,nhiều,positive};{null,chật,negative};{giá,cao,negative};{null,hôi thuốc lá,negative};{null,ồn ào,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ,positive};{AMBIENCE#GENERAL,null,negative};{FOOD#PRICES,giá,negative};{AMBIENCE#GENERAL,null,negative};{AMBIENCE#GENERAL,null,negative}"
"giá có hơi mắc nhưng thật sự không có gì để nói từ phục vụ đến món ăn , rất tuyệt","{phục vụ,tuyệt,positive};{món ăn,tuyệt,positive};{giá,mắc,negative}","{SERVICE#GENERAL,phục vụ,positive};{FOOD#QUALITY,món ăn,positive};{RESTAURANT#PRICES,giá,negative}"
còn về đồ ăn thì tôi thấy hài lòng với chất lượng nhưng riêng thái độ phục vụ có lẽ rất thất vọng,"{thái độ phục vụ,thất vọng,negative};{đồ ăn,hài lòng,positive}","{SERVICE#GENERAL,thái độ phục vụ,negative};{FOOD#QUALITY,đồ ăn,positive}"
chất lượng món ăn và nêm nếm ngon nhưng giá cả đúng là đắt so với sự đơn giản trong thực đơn,"{chất lượng món ăn,ngon,positive};{giá cả,đắt,negative};{menu,đơn giản,negative};{nêm nếm,ngon,positive}","{FOOD#QUALITY,chất lượng món ăn,positive};{FOOD#PRICES,giá cả,negative};{FOOD#STYLE&OPTIONS,menu,negative};{FOOD#QUALITY,nêm nếm,positive}"
lâu lâu đổi vị chuyển sang ăn chay nên cảm thấy ăn rất ngon vừa miệng nữa cảm thấy rất tươi vị đồ ăn khá vừa không bị ngấy ngoài ra thì đồ uống cũng bình thường,"{null,ngon vừa miệng,positive};{đồ uống,bình thường,neutral};{vị đồ ăn,vừa,neutral};{null,fresh,positive}","{FOOD#QUALITY,null,positive};{DRINKS#QUALITY,đồ uống,neutral};{FOOD#QUALITY,vị đồ ăn,neutral};{FOOD#QUALITY,null,positive}"
đồ ăn cũng được nhưng phục vụ rất lâu quán ăn còn có giá cả hơi mắc tuy rất ít khách nhưng vẫn phục vụ như kiểu vừa ăn vừa ngủ : ),"{khách,ít,neutral};{phục vụ,lâu,negative};{đồ ăn,cũng được,neutral};{giá cả,mắc,negative};{phục vụ,null,negative}","{RESTAURANT#GENERAL,khách,neutral};{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,đồ ăn,neutral};{RESTAURANT#PRICES,giá cả,negative};{SERVICE#GENERAL,phục vụ,negative}"
"không gian quán hơi nhỏ , nhân viên phục vụ rất nhiệt tình , vui vẻ .","{nhân viên phục vụ,nhiệt tình,positive};{ko gian,nhỏ,negative};{nhân viên phục vụ,vui vẻ,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{AMBIENCE#GENERAL,ko gian,negative};{SERVICE#GENERAL,nhân viên phục vụ,positive}"
nhân viên nhiệt tình giá num tô mì ở đây hơi cao nên thỉnh thoảng đi thui,"{nhân viên,nhiệt tình,positive};{giá,cao,negative}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#PRICES,giá,negative}"
nói chung là cứ ăn steak mà có dư dả đạn thì mình sẽ tới ngay đây để ăn vì theo mình phục vụ ở đây rất okay không gian cũng okay không xô bồ tí nào,"{phục vụ,rất okay,positive};{không gian,okay,neutral};{null,null,positive}","{SERVICE#GENERAL,phục vụ,positive};{AMBIENCE#GENERAL,không gian,neutral};{RESTAURANT#GENERAL,null,positive}"
thực đơn khá đa dạng tuy giá cao nhưng đồ ăn rất chất lượng một phần nhiều quá trời num người ăn vẫn đủ,"{đồ ăn,chất lượng,positive};{menu,đa dạng,positive};{null,nhiều,positive};{giá,cao,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,menu,positive};{FOOD#STYLE&OPTIONS,null,positive};{RESTAURANT#PRICES,giá,negative}"
