input,ao,ap,cp
quán đẹp mang phong cách cổ xưa đồng phục đẹp phục vụ là con trai rất nhiều và cũng rất tốt tốt tốt đồ ăn trang trí đẹp có nhiều món để chọn và bắt mắt,"{phục vụ,nhiều};{đồ ăn trang trí,đẹp};{phong cách,cổ xưa};{đồng phục,đẹp};{quán,đẹp};{phục vụ,đẹp};{món,nhiều};{món,bắt mắt}","{phục vụ,positive};{đồ ăn trang trí,positive};{phong cách,neutral};{đồng phục,positive};{quán,positive};{phục vụ,positive};{món,positive};{món,positive}","{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,neutral};{RESTAURANT#MISCELLANEOUS,positive};{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive}"
giá cả theo mình nghĩ là vừa phải không quá mắc không gian quán sạch sẽ đầy đủ ánh sáng chỉ có là nhân viên hay quên mình order món này thì lại đem ra món khác có lẽ do đông khách,"{nhân viên,null};{giá cả,vừa phải};{không gian,sạch sẽ};{null,đông};{ánh sáng,đầy đủ}","{nhân viên,negative};{giá cả,neutral};{không gian,positive};{null,neutral};{ánh sáng,positive}","{SERVICE#GENERAL,negative};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive};{RESTAURANT#GENERAL,neutral};{AMBIENCE#GENERAL,positive}"
lâu không ăn tại đây chất lượng vẫn ngon hải sản đa dạng nhà hàng sang trọng sạch sẽ theo mình thì giá bình thường so với chất lượng giữ xe miễn phí nếu đóng dấu nhà hàng,"{chất lượng,ngon};{hải sản,đa dạng};{giá,bình thường};{giữ xe,miễn phí};{nhà hàng,sang trọng sạch sẽ}","{chất lượng,positive};{hải sản,positive};{giá,neutral};{giữ xe,positive};{nhà hàng,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,neutral};{RESTAURANT#MISCELLANEOUS,positive};{AMBIENCE#GENERAL,positive}"
đồ ăn ngon đa dạng tươi nhất mình từng ăn đồng thời giá cũng cao muốn ăn no chi phí num người là khoảng num tr,"{đồ ăn,ngon};{đồ ăn,tươi};{đồ ăn,đa dạng};{giá,cao};{chi phí,null}","{đồ ăn,positive};{đồ ăn,positive};{đồ ăn,positive};{giá,negative};{chi phí,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#PRICES,neutral}"
mặc dù giá bufet thuộc tầm cao nhưng ở lại ngay trung tâm thành phố đồ ăn rất ngon hải sản nhiều loại có cả tôm hùm nữa thì đáng để trải nghiệm khi có cơ hội,"{đồ ăn,ngon};{hải sản,nhiều loại};{giá buffet,cao};{null,ngay trung tâm};{null,ngay trung tâm}","{đồ ăn,positive};{hải sản,positive};{giá buffet,negative};{null,neutral};{null,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{LOCATION#GENERAL,neutral};{LOCATION#GENERAL,positive}"
"quán đẹp , thức ăn ngon , giá rẻ , tuy nhiên đường vào hơi nhỏ va ngoằn nghèo","{thức ăn,ngon};{quán,đẹp};{giá,rẻ};{đường vào,nhỏ};{đường vào,ngoằn nghèo}","{thức ăn,positive};{quán,positive};{giá,positive};{đường vào,negative};{đường vào,negative}","{FOOD#QUALITY,positive};{RESTAURANT#GENERAL,positive};{FOOD#PRICES,positive};{LOCATION#GENERAL,negative};{LOCATION#GENERAL,negative}"
không gian quán ấm cúng nhưng quán đông nên gọi món hơi lâu,"{gọi món,lâu};{không gian,ấm cúng};{quán,đông}","{gọi món,negative};{không gian,positive};{quán,neutral}","{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,positive};{RESTAURANT#GENERAL,neutral}"
đồ ăn được giá cao nhưng không vấn đề so với địa thế của quán nhưng cái đáng bàn là chất lượng phục vụ có num điểm trừ lớn,"{chất lượng phục vụ,null};{đồ ăn,được};{giá,cao}","{chất lượng phục vụ,negative};{đồ ăn,neutral};{giá,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{FOOD#PRICES,negative}"
đồ ăn ở đây ok không gian quán cũng được mình và bạn mình kết nhất món cơm trộn,"{đồ ăn,ok};{không gian,dc};{món cơm trộn,null}","{đồ ăn,neutral};{không gian,neutral};{món cơm trộn,positive}","{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,neutral};{FOOD#QUALITY,positive}"
về món ăn thì ngon rồi nhưng cần chỉnh sửa cách phục vụ ở đây !,"{cách phục vụ,null};{món ăn,ngon}","{cách phục vụ,negative};{món ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
chất lượng ngon dễ ăn không gian hơi ồn ào,"{chất lượng,ngon dễ ăn};{không gian,ồn ào}","{chất lượng,positive};{không gian,negative}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative}"
đồ ăn chất lượng không gian ấm cúng sang trọng mặc dù hơi hẹp chút,"{đồ ăn,chất lượng};{ko gian,hẹp};{ko gian,ấm cúng sang trọng}","{đồ ăn,positive};{ko gian,negative};{ko gian,positive}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
quán mì cay ngon nhất mà mình từng ăn ở đà nẵng nhưng quán cần xem lại vấn đề vệ sinh và nhân viên,"{quán,ngon};{nhân viên,null};{vệ sinh,null}","{quán,positive};{nhân viên,negative};{vệ sinh,negative}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,negative}"
giá hơi cao nhưng chất lượng món ăn nhiều nên no căng bụng luôn,"{null,chất lượng};{món ăn,nhiều};{giá,cao}","{null,positive};{món ăn,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
mình ăn nhiều nơi tương tự nhưng ok nhất là ở đây giá cả phải chăng đồ ăn lại ngon không gian có hơi nhỏ num chút,"{đồ ăn,ngon};{giá cả,phải chăng};{không gian,nhỏ}","{đồ ăn,positive};{giá cả,neutral};{không gian,negative}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,negative}"
mỳ ở đây ngon nhất chắc là mỳ khô sốt nấm ăn vừa miệng và đậm đà cực kỳ tuy nhiên giá hơi chát giá tiền một tô quá ít so với sức ăn của mình,"{mỳ khô sốt nấm,đậm đà};{tô,ít};{giá,chát};{mỳ khô sốt nấm,vừa miệng}","{mỳ khô sốt nấm,positive};{tô,negative};{giá,negative};{mỳ khô sốt nấm,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,negative};{FOOD#QUALITY,positive}"
và quán thì đông khách cực đông luôn nên order xong đợi rất lâu mới lên í,"{quán,đông};{đợi,lâu}","{quán,neutral};{đợi,negative}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative}"
nhìn chung tầm giá không cao không gian thoải mái nhưng hơi nóng đồ ăn khá ngon,"{đồ ăn,ngon};{giá,không cao};{không gian,thoải mái};{không gian,nóng}","{đồ ăn,positive};{giá,neutral};{không gian,positive};{không gian,negative}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,negative}"
sushi rất ngon giá cao nhưng cũng đáng tiền sashimi ăn cũng rất ngon nhé ăn quên mất chụp lại rồi tốt tốt có hai món mình thấy không ngon chút nào là bánh xèo nhật và trứng hấp vị rất lạt lẽo,"{sushi,ngon};{giá,cao};{sashimi,ngon};{bánh xèo nhật,ko ngon};{trứng hấp,lạt lẽo}","{sushi,positive};{giá,negative};{sashimi,positive};{bánh xèo nhật,negative};{trứng hấp,negative}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative};{FOOD#QUALITY,positive};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative}"
"thực đơn ở đây khá ít nhưng hương vị khá ổn , quan trọng là không gian đẹp , sạch sẽ và nhân viên chuyên nghiệp .","{nhân viên,chuyên nghiệp};{hương vị,khá ổn};{Menu,ít};{không gian,đẹp};{không gian,sạch sẽ}","{nhân viên,positive};{hương vị,positive};{Menu,negative};{không gian,positive};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
lần thứ num quay lại đây vẫn không thất vọng cơm vẫn ổn từ vị sườn cho đến nước mắm chấm không gian thoáng và nhân viên đa số còn trẻ nên rất hoạt bát và thân thiện,"{nhân viên,hoạt bát};{cơm,ổn};{không gian,thoáng};{nhân viên,thân thiện}","{nhân viên,positive};{cơm,neutral};{không gian,positive};{nhân viên,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,positive};{SERVICE#GENERAL,positive}"
thịt bò mình gọi num đĩa num g ăn cũng tạm được thịt khá dai và sốt không đậm đà gà chiên bơ ăn hơi cứng điểm trừ nhân viên phục vụ thái độ không hề niềm nở mặt lúc nào cũng không vui lóng ngóng khách kêu tính tiền mà cứ lơ ngơ đi luôn không buồn để ý,"{nhân viên phục vụ thái độ,không hề niềm nở};{thịt bò,tạm đc};{thịt bò,600g};{thịt,dai};{sốt,k đậm đà};{gà chiên bơ,cứng}","{nhân viên phục vụ thái độ,negative};{thịt bò,neutral};{thịt bò,neutral};{thịt,negative};{sốt,negative};{gà chiên bơ,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,neutral};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative}"
nhân viên quán thân thiện chỗ để xe có vẻ hơi hạn chế không gian có vẻ hơi nhỏ nhưng rất thoải mái có thêm tầng num đấy ạ,"{nhân viên,thân thiện};{chỗ để xe,hạn chế};{không gian,nhỏ};{không gian,thoải mái}","{nhân viên,positive};{chỗ để xe,negative};{không gian,negative};{không gian,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,negative};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
đồ ăn theo mình đánh giá là không tươi được cái nêm gia vị vừa miệng,"{đồ ăn,k tươi};{nêm gia vị,vừa miệng}","{đồ ăn,negative};{nêm gia vị,positive}","{FOOD#STYLE&OPTIONS,negative};{FOOD#QUALITY,positive}"
đồ ăn thì ngon giá vừa phải không gian tuy nhỏ nhưng ấm cúng,"{đồ ăn,ngon};{không gian,nhỏ};{giá,vừa phải};{không gian,ấm cúng}","{đồ ăn,positive};{không gian,negative};{giá,neutral};{không gian,positive}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,neutral};{AMBIENCE#GENERAL,positive}"
đúng phong cách bánh xèo đại lộc khá ngon mà phục vụ tệ quá,"{phục vụ,tệ};{bánh xèo đại lộc,ngon};{bánh xèo đại lộc,đúng phong cách}","{phục vụ,negative};{bánh xèo đại lộc,positive};{bánh xèo đại lộc,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive}"
lâu rồi mới đi ăn chay vô tình ghé quán mới biết là quán của ca sỹ phi nhung không gian ấm cúng đồ ăn ra rất nhanh cũng vừa miệng giá cả hợp lý phục vụ ổn sẽ ủng hộ thường xuyên,"{đồ ăn,vừa miệng};{đồ ăn ra,nhanh};{giá cả,hợp lý};{không gian,ấm cúng};{phục vụ,ổn}","{đồ ăn,positive};{đồ ăn ra,positive};{giá cả,positive};{không gian,positive};{phục vụ,neutral}","{FOOD#QUALITY,positive};{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,positive};{SERVICE#GENERAL,neutral}"
món ăn thì rất ngon dù có hơi chậm chút xíu,"{món ăn,ngon};{null,chậm}","{món ăn,positive};{null,negative}","{FOOD#QUALITY,positive};{SERVICE#GENERAL,negative}"
chất lượng ổn tuy nhiên giá thành không phải rẻ .,"{chất lượng,ổn};{giá thành,không phải rẻ}","{chất lượng,neutral};{giá thành,negative}","{RESTAURANT#GENERAL,neutral};{RESTAURANT#PRICES,negative}"
"quán nằm trên tầng num , quang cảnh nhìn xuống đường khá ok , không gian ấm cúng , sạch sẽ .","{view,ok};{null,trên tầng 6};{không gian,sạch sẽ};{không gian,ấm cúng}","{view,neutral};{null,neutral};{không gian,positive};{không gian,positive}","{LOCATION#GENERAL,neutral};{LOCATION#GENERAL,neutral};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
quán phục vụ nhanh nhưng trà chanh hết sớm quá,"{phục vụ,nhanh};{trà chanh,null}","{phục vụ,positive};{trà chanh,negative}","{SERVICE#GENERAL,positive};{DRINKS#STYLE&OPTIONS,negative}"
"giao hàng vừa nhanh , chất lượng đồ uống ok , không đường , sữa và không chất bảo quản nên rất tốt cho sức khoẻ tốt .","{giao hàng,nhanh};{chất lượng đồ uống,oke}","{giao hàng,positive};{chất lượng đồ uống,neutral}","{SERVICE#GENERAL,positive};{DRINKS#QUALITY,neutral}"
đã ăn ở quán rất nhiều lần chất lượng đồ ăn chưa bao giờ làm mình thất vọng tuy nhiên chi nhánh phạm ngọc thạch không gian nhỏ và hơi tối lại không thông thoáng lắm,"{chất lượng đồ ăn,null};{không gian,nhỏ};{không gian,tối};{không gian,không thông thoáng}","{chất lượng đồ ăn,positive};{không gian,negative};{không gian,negative};{không gian,negative}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,negative}"
thịt nướng ở gogi thì không có gì bàn cãi nhưng thái độ phục vụ của nhân viên ở chi nhánh này thì dở tệ,"{thái độ phục vụ,dở tệ};{thịt nướng,null}","{thái độ phục vụ,negative};{thịt nướng,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
"đồ ăn không ngon giá thì quá chát chúa , không bao giờ quay lại nơi này dù có cảnh đẹp","{đồ ăn,không ngon};{giá,chát chúa};{cảnh,đẹp}","{đồ ăn,negative};{giá,negative};{cảnh,positive}","{FOOD#QUALITY,negative};{FOOD#PRICES,negative};{LOCATION#GENERAL,positive}"
sản phẩm của các bạn dù có tốt nhưng dịch vụ tệ thì khách cũng sẽ không quay lại,"{sản phẩm,tốt};{dịch vụ,tệ}","{sản phẩm,positive};{dịch vụ,negative}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,negative}"
đồ ăn bắt mắt nhưng nếm nếm càng ngày càng tệ .,"{nếm nếm,tệ};{đồ ăn,bắt mắt}","{nếm nếm,negative};{đồ ăn,positive}","{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,positive}"
thực đơn đọc cũng hấp dẫn nhiều món chỉ có điều giá hơi cao,"{thực đơn,hấp dẫn};{giá,cao};{thực đơn,nhiều món}","{thực đơn,positive};{giá,negative};{thực đơn,positive}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{FOOD#STYLE&OPTIONS,positive}"
phần giá tiền tuy hơi ít thịt nhưng vẫn thơm mùi phô mai,"{null,thơm};{thịt,ít};{null,null}","{null,positive};{thịt,negative};{null,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,neutral}"
đồ ăn từng phần hơn đắt nhưng cũng khá ngon,"{đồ ăn,ngon};{đồ ăn,đắt}","{đồ ăn,positive};{đồ ăn,negative}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative}"
"quán bình dân nhưng đồ ăn rất ngon , phục vụ nhanh và nhiệt tình !","{quán,bình dân};{phục vụ,nhiệt tình};{đồ ăn,ngon};{phục vụ,nhanh}","{quán,neutral};{phục vụ,positive};{đồ ăn,positive};{phục vụ,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{SERVICE#GENERAL,positive}"
thức ăn cũng khá ngon nhưng mình thấy so với giá thì hơi ít,"{thức ăn,ngon};{thức ăn,ít}","{thức ăn,positive};{thức ăn,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative}"
nêm nếm cay đúng chất thái nêm nếm khá ngon vừa miệng món ăn đa dạng nên tha hồ lựa chọn thưởng thức có thức uống kèm chữa cháy giá cả đi đôi với chất lượng không đến nỗi quá đắt,"{nêm nếm,cay};{món ăn,đa dạng};{thức uống,null};{giá cả,null};{nêm nếm,ngon}","{nêm nếm,positive};{món ăn,positive};{thức uống,positive};{giá cả,neutral};{nêm nếm,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{DRINKS#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,neutral};{FOOD#QUALITY,positive}"
thực đơn cũng đa dạng lắm nhưng giá sẽ hơi cao,"{thực đơn,đa dạng};{giá,cao}","{thực đơn,positive};{giá,negative}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
chỉ có điều là món ăn hơi nhạt nước uống ngon nhưng giá cũng hơi chát,"{món ăn,nhạt};{giá,chát};{nước uống,ngon}","{món ăn,negative};{giá,negative};{nước uống,positive}","{FOOD#QUALITY,negative};{RESTAURANT#PRICES,negative};{DRINKS#QUALITY,positive}"
vào ngồi vừa chật vừa ồn ào tiếng người và tiếng trẻ con lại còn hôi thuốc lá gt về đồ ăn theo mình là giá cao nhưng ăn chất lượng đồ nhiều,"{đồ ăn,chất lượng};{đồ,nhiều};{null,chật};{giá,cao};{null,hôi thuốc lá};{null,ồn ào}","{đồ ăn,positive};{đồ,positive};{null,negative};{giá,negative};{null,negative};{null,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,negative};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,negative}"
"giá có hơi mắc nhưng thật sự không có gì để nói từ phục vụ đến món ăn , rất tuyệt","{phục vụ,tuyệt};{món ăn,tuyệt};{giá,mắc}","{phục vụ,positive};{món ăn,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
còn về đồ ăn thì tôi thấy hài lòng với chất lượng nhưng riêng thái độ phục vụ có lẽ rất thất vọng,"{thái độ phục vụ,thất vọng};{đồ ăn,hài lòng}","{thái độ phục vụ,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
chất lượng món ăn và nêm nếm ngon nhưng giá cả đúng là đắt so với sự đơn giản trong thực đơn,"{chất lượng món ăn,ngon};{giá cả,đắt};{menu,đơn giản};{nêm nếm,ngon}","{chất lượng món ăn,positive};{giá cả,negative};{menu,negative};{nêm nếm,positive}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative};{FOOD#STYLE&OPTIONS,negative};{FOOD#QUALITY,positive}"
lâu lâu đổi vị chuyển sang ăn chay nên cảm thấy ăn rất ngon vừa miệng nữa cảm thấy rất tươi vị đồ ăn khá vừa không bị ngấy ngoài ra thì đồ uống cũng bình thường,"{null,ngon vừa miệng};{đồ uống,bình thường};{vị đồ ăn,vừa};{null,fresh}","{null,positive};{đồ uống,neutral};{vị đồ ăn,neutral};{null,positive}","{FOOD#QUALITY,positive};{DRINKS#QUALITY,neutral};{FOOD#QUALITY,neutral};{FOOD#QUALITY,positive}"
đồ ăn cũng được nhưng phục vụ rất lâu quán ăn còn có giá cả hơi mắc tuy rất ít khách nhưng vẫn phục vụ như kiểu vừa ăn vừa ngủ : ),"{khách,ít};{phục vụ,lâu};{đồ ăn,cũng được};{giá cả,mắc};{phục vụ,null}","{khách,neutral};{phục vụ,negative};{đồ ăn,neutral};{giá cả,negative};{phục vụ,negative}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{RESTAURANT#PRICES,negative};{SERVICE#GENERAL,negative}"
"không gian quán hơi nhỏ , nhân viên phục vụ rất nhiệt tình , vui vẻ .","{nhân viên phục vụ,nhiệt tình};{ko gian,nhỏ};{nhân viên phục vụ,vui vẻ}","{nhân viên phục vụ,positive};{ko gian,negative};{nhân viên phục vụ,positive}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative};{SERVICE#GENERAL,positive}"
nhân viên nhiệt tình giá num tô mì ở đây hơi cao nên thỉnh thoảng đi thui,"{nhân viên,nhiệt tình};{giá,cao}","{nhân viên,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#PRICES,negative}"
