task,raw_input,input,output,raw_output
acsa,Tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng.,tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng .,giá tiền nhà hàng tệ và nhà hàng nói chung tốt,"{RESTAURANT#PRICES, negative}, {RESTAURANT#GENERAL, positive}"
acsa,Nhìn chung hôm đó mình cũng hài lòng rồi.,nhìn chung hôm đó mình cũng hài lòng rồi .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Nhưng với giá 10k thì không thể đòi hỏi được gì rồi 😓.,nhưng với giá giá tiền thì không thể đòi hỏi được gì rồi tệ .,giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,Nồi lầu riêu cua chỉ có 1 đĩa rau và chưa có đồ nhúng đã là 169k rồi.,nồi lầu riêu cua chỉ có num đĩa rau và chưa có đồ nhúng đã là giá tiền rồi .,giá tiền đồ ăn tệ,"{FOOD#PRICES, negative}"
acsa,Giá từ 30-35-40k.,giá từ num - giá tiền .,giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,Hình như hôm ấy mình gọi cơm được tặng thêm khoai.,hình như hôm ấy mình gọi cơm được tặng thêm khoai .,vấn đề khác tốt,"{RESTAURANT#MISCELLANEOUS, positive}"
acsa,"Nghe giới thiêu quán có thêm các loại topping nên gọi 1 trà đen trân châu trắng, trà có vị hoa hồng hơi nồng, nên sẽ có một số ng ko hợp vị này lắm.","nghe giới thiêu quán có thêm các loại toping nên gọi num trà đen trân châu trắng , trà có vị hoa hồng hơi nồng , nên sẽ có một số người không hợp vị này lắm .",chất lượng đồ uống tệ và lựa chọn đồ uống tốt,"{DRINKS#QUALITY, negative}, {DRINKS#STYLE&OPTIONS, positive}"
acsa,"Đồ ăn thì ngon, mình nhớ là chủ yếu nhiều món Tây, nhưng không lo vì Tây hay Ta người VN đều ăn được.","đồ ăn thì ngon , mình nhớ là chủ yếu nhiều món tây , nhưng không lo vì tây hay ta người việt nam đều ăn được .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,Cùng hệ thống với Al Fresco ' s mà chất lượng 2 bên chênh lệch nhau quá lớn như vậy !,cùng hệ thống với al fresco ' s mà chất lượng num bên chênh lệch nhau quá lớn như vậy !,nhà hàng nói chung tệ,"{RESTAURANT#GENERAL, negative}"
acsa,Có dịp sẽ tới ủn hộ dài dài !,có dịp sẽ tới ủn hộ dài dài !,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,"-, Món salad bò nướng đúng ngon luôn, mà có lẽ nên gọi bò salad đúng hơn í vì bò nhiều ơi là nhiều, gia vị có giấm táo chua ngọt dễ ăn cực kỳ.","- , món salad bò nướng đúng ngon luôn , mà có lẽ nên gọi bò salad đúng hơn í vì bò nhiều ơi là nhiều , gia vị có giấm táo chua ngọt dễ ăn cực kỳ .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,Chắc không nhìn thấy mình là bơ luôn khách hàng này.,chắc không nhìn thấy mình là bơ luôn khách hàng này .,phục vụ tệ,"{SERVICE#GENERAL, negative}"
acsa,"Mấy lần trước thì sốt sền sệt, lần này ko hiểu sao sốt lỏng le, ăn ko thích bằng nhưng được cái vị vẫn ngon.","mấy lần trước thì sốt sền sệt , lần này không hiểu sao sốt lỏng le , ăn không thích bằng nhưng được cái vị vẫn ngon .",chất lượng đồ ăn tốt và lựa chọn đồ ăn tệ,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, negative}"
acsa,"Chủ quán thân thiện, nhiệt tình.","chủ quán thân thiện , nhiệt tình .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,À mình còn nhớ lần trước mua ly này 39k thôi mà hôm nay tới 45k lận.,à mình còn nhớ lần trước mua ly này giá tiền thôi mà hôm nay tới giá tiền lận .,giá tiền đồ uống tệ,"{DRINKS#PRICES, negative}"
acsa,"Nhìn chung thì đồ ăn của quán khá ổn, mình đã hy vọng nó thật xuất sắc nhưng nhà hàng dừng lại ở mức khá ngon.","nhìn chung thì đồ ăn của quán khá ổn , mình đã hy vọng nó thật xuất sắc nhưng nhà hàng dừng lại ở mức khá ngon .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Mìh like món trà sữa uyên ươg ở đây lắm.,mình thích món trà sữa uyên ươg ở đây lắm .,chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Cửa hàng kế bên The Coffee House Lê Đại Hành.,cửa hàng kế bên the cofe house lê đại hành .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}"
acsa,Phục vụ:Dễ thương trẻ trung năng động.,phục vụ : dễ thương trẻ trung năng động .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Phần Thăn ngoại Hokubee miếng thịt có gân mỡ bên rìa, dai quá cắt woai k đứt.","phần thăn ngoại hokube miếng thịt có gân mỡ bên rìa , dai quá cắt woai không đứt .",chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,"Ai ghiên cà phê thì thôi khỏi nói luôn, uống là thích liền.","ai ghiên cà phê thì thôi khỏi nói luôn , uống là thích liền .",chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Nước ép dưa hấu cũng rất thơm và ngon.,nước ép dưa hấu cũng rất thơm và ngon .,chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,"Nhân viên nhanh nhẹn, lịch sự.","nhân viên nhanh nhẹn , lịch sự .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Nhân viên ở đây phục vụ rất nhiệt tình và vui vẻ và dễ thương lắm luôn.,nhân viên ở đây phục vụ rất nhiệt tình và vui vẻ và dễ thương lắm luôn .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Phục vụ:các bạn nhân viên thiếu kinh nghiệm đã được thay thế bằng các bạn nhân viên nhiệt tình, khéo léo.","phục vụ : các bạn nhân viên thiếu kinh nghiệm đã được thay thế bằng các bạn nhân viên nhiệt tình , khéo léo .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Giao sớm hơn giờ mình đặt luôn.,giao sớm hơn giờ mình đặt luôn .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Mình ăn 2 ng hết 700k.,mình ăn num người hết giá tiền .,giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,Gọi thêm phần bò quanh lửa hồng nữa là số dzách.,gọi thêm phần bò quanh lửa hồng nữa là số đỉnh nhất .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,"Đồ ăn ngon, khách hơi vắng hơn so với mấy nhà hàng khác ở Mỹ Tho.","đồ ăn ngon , khách hơi vắng hơn so với mấy nhà hàng khác ở mỹ tho .",chất lượng đồ ăn tốt và nhà hàng nói chung tạm,"{FOOD#QUALITY, positive}, {RESTAURANT#GENERAL, neutral}"
acsa,"- cá ba sa chiên giòn 45k: cá mềm, không bị khô nha, cắn ra có hơi bốc khói nhẹ, loại này cũng có sốt riêng chấm luôn.","- cá ba sa chiên giòn giá tiền : cá mềm , không bị khô nha , cắn ra có hơi bốc khói nhẹ , loại này cũng có sốt riêng chấm luôn .",giá tiền đồ ăn tạm và chất lượng đồ ăn tốt,"{FOOD#PRICES, neutral}, {FOOD#QUALITY, positive}"
acsa,Mang tiếng là fast food mà lại bắt khách chờ hơn cả 10p.,mang tiếng là nhanh fod mà lại bắt khách chờ hơn cả num p .,phục vụ tệ,"{SERVICE#GENERAL, negative}"
acsa,"Nước chấm rất ngon luôn, 1 phần làm nên món lẩu mà :)).","nước chấm rất ngon luôn , num phần làm nên món lẩu mà : ) ) .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Mà khách lúc nào cũng đông nên hơi ồn ào.,mà khách lúc nào cũng đông nên hơi ồn ào .,không gian tệ,"{AMBIENCE#GENERAL, negative}"
acsa,"Spicy kale & Edamame khó ăn lắm, rau vị nồng qtqd, có mấy loại hạt với thịt xé nhỏ trộn chung.","spicy kale và edamame khó ăn lắm , rau vị nồng qtqd , có mấy loại hạt với thịt xé nhỏ trộn chung .",chất lượng đồ ăn tệ và lựa chọn đồ ăn tạm,"{FOOD#QUALITY, negative}, {FOOD#STYLE&OPTIONS, neutral}"
acsa,Giá cả không quá cao so với chất lượng và mấy nơi khác.,giá cả không quá cao so với chất lượng và mấy nơi khác .,giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,"Cái bạn giả bộ lơ lơ lại tỏ vẻ mặt cực kỳ khó chịu với mình như mình làm gì bạn đấy, cái bạn còn lại thấy vậy chạy tới gíup.","cái bạn giả bộ lơ lơ lại tỏ vẻ mặt cực kỳ khó chịu với mình như mình làm gì bạn đấy , cái bạn còn lại thấy vậy chạy tới gíup .",phục vụ tệ,"{SERVICE#GENERAL, negative}"
acsa,Nước lèo ngọt thanh ăn rất vừa miệng.,nước lèo ngọt thanh ăn rất vừa miệng .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Rồi món cuối trước khi ăn tráng miệng là cơm chiên với gà quay hay nướng lá é.,rồi món cuối trước khi ăn tráng miệng là cơm chiên với gà quay hay nướng lá é .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,Gà có vị cay kích thích vị giác.,gà có vị cay kích thích vị giác .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Mình đã chọn món ' Chocolate sữa đá ', mình thực sự rất thích Chocolate.","mình đã chọn món ' chocolate sữa đá ' , mình thực sự rất thích chocolate .",chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,"Mới đầu hơi buồn do là thịt bầm chứ k phải thịt lát, tô cũng khá nhỏ.","mới đầu hơi buồn do là thịt bầm chứ không phải thịt lát , tô cũng khá nhỏ .",lựa chọn đồ ăn tệ,"{FOOD#STYLE&OPTIONS, negative}"
acsa,"Menu phong phú, đa dạng, giá cả phải chăng.","thực đơn phong phú , đa dạng , giá cả phải chăng .",lựa chọn đồ ăn tốt và lựa chọn đồ uống tốt và giá tiền nhà hàng tốt,"{FOOD#STYLE&OPTIONS, positive}, {DRINKS#STYLE&OPTIONS, positive}, {RESTAURANT#PRICES, positive}"
acsa,"Lasgana cũng bt, k có sốt cà chua nên cảm thấy thiếu vị.","lasgana cũng biết , không có sốt cà chua nên cảm thấy thiếu vị .",lựa chọn đồ ăn tệ và chất lượng đồ ăn tạm,"{FOOD#STYLE&OPTIONS, negative}, {FOOD#QUALITY, neutral}"
acsa,Hôm nọ có order gongcha trên foody ship về đặt 1 ly olong gongcha trân châu trắng ly lớn & 1 ly earl grey trân trâu đen mà không thấy trân châu đâu hơi thất vọng.,hôm nọ có order gongcha trên fody vận chuyển về đặt num ly olong gongcha trân châu trắng ly lớn và num ly earl grey trân trâu đen mà không thấy trân châu đâu hơi thất vọng .,lựa chọn đồ uống tệ,"{DRINKS#STYLE&OPTIONS, negative}"
acsa,Giá hơi cao tý nhưng rất xứng đáng với chất lượng.,giá hơi cao tý nhưng rất xứng đáng với chất lượng .,giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,Uống mát mà cũng ngon.,uống mát mà cũng ngon .,chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Ăn khoẻ thi chăc chăn phải gọi thêm rùi nhưng cam thấy xứng đáng :)).,ăn khoẻ thi chăc chăn phải gọi thêm rùi nhưng cam thấy xứng đáng : ) ) .,lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, neutral}, {FOOD#QUALITY, positive}"
acsa,"Nước theo cảm quan của mình thì có mùi thơm chất nhưng rất lạt, lớp váng sữa không có gì đặc biệt, có thể nói là tệ, cái bingsu gì đó ăn khá ổn, còn toast thì mình thấy khá ok, ăn ngon, không quay lại.","nước theo cảm quan của mình thì có mùi thơm chất nhưng rất lạt , lớp váng sữa không có gì đặc biệt , có thể nói là tệ , cái bingsu gì đó ăn khá ổn , còn toast thì mình thấy khá ok , ăn ngon , không quay lại .",chất lượng đồ uống tệ và chất lượng đồ ăn tốt,"{DRINKS#QUALITY, negative}, {FOOD#QUALITY, positive}"
acsa,"Tổng:63.000₫, Mình kêu 50 % đường, uống lúc đầu ngọt để khoảng lâu mới uống Hạp vị.","tổng : num . num ₫ , mình kêu num % đường , uống lúc đầu ngọt để khoảng lâu mới uống hạp vị .",giá tiền nhà hàng tạm và chất lượng đồ uống tạm và lựa chọn đồ uống tạm,"{RESTAURANT#PRICES, neutral}, {DRINKS#QUALITY, neutral}, {DRINKS#STYLE&OPTIONS, neutral}"
acsa,"- Cookies:là bánh xay nên thơm mùi bánh, ngọt vừa phải.","- cokies : là bánh xay nên thơm mùi bánh , ngọt vừa phải .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"- Về thức ăn và giá cả: Mình ăn phần ăn 279k nên được ăn khá nhiều các món, khá đa dạng, món nướng ướp ngon, đậm đà vừa phải.","- về thức ăn và giá cả : mình ăn phần ăn giá tiền nên được ăn khá nhiều các món , khá đa dạng , món nướng ướp ngon , đậm đà vừa phải .",giá tiền đồ ăn tạm và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt,"{FOOD#PRICES, neutral}, {FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, positive}"
acsa,"Do mình chụp ảnh hơi lâu nên bánh vỏ ngoài khô, nhưng nhân trong vẫn nhiều và mềm nhé.","do mình chụp ảnh hơi lâu nên bánh vỏ ngoài khô , nhưng nhân trong vẫn nhiều và mềm nhé .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,"Nước cốt dừa béo vừa, chè ít ngọt nên ăn ngon lắm nha.","nước cốt dừa béo vừa , chè ít ngọt nên ăn ngon lắm nha .",lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, neutral}, {FOOD#QUALITY, positive}"
acsa,"- 1 phần salad 55k: ăn ổn, trộn vị thấm đều, có bánh mì nướng ăn kèm giòn giòn khá thích.","- num phần salad giá tiền : ăn ổn , trộn vị thấm đều , có bánh mì nướng ăn kèm giòn giòn khá thích .",giá tiền đồ ăn tạm và chất lượng đồ ăn tốt và lựa chọn đồ ăn tệ,"{FOOD#PRICES, neutral}, {FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, negative}"
acsa,Mình rất thích chả cá.,mình rất thích chả cá .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Decor xinh nè.,trang trí xinh nè .,không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,- Giá hơi cao so với các sushi khác nhưng bù lại chất lượng rất tốt.,- giá hơi cao so với các sushi khác nhưng bù lại chất lượng rất tốt .,giá tiền nhà hàng tệ và nhà hàng nói chung tốt,"{RESTAURANT#PRICES, negative}, {RESTAURANT#GENERAL, positive}"
acsa,"Không gian ấm cúng thích hợp tụ họp bạn bè, gia đình.","không gian ấm cúng thích hợp tụ họp bạn bè , gia đình .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,"Dìn Ký thì có thương hiệu lâu rồi, menu đủ món á âu, nhiều loại, dễ lựa chọn, phù hợp với nhiều đối tượng.","dìn ký thì có thương hiệu lâu rồi , thực đơn đủ món á âu , nhiều loại , dễ lựa chọn , phù hợp với nhiều đối tượng .",lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,"Nhân viên lịch sự, tử tế.","nhân viên lịch sự , tử tế .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Mì ngon, nhưng khá chua, có lẽ là do kim chi, mình nghĩ nên giảm bớt độ chua lại một chút.","mì ngon , nhưng khá chua , có lẽ là do kim chi , mình nghĩ nên giảm bớt độ chua lại một chút .",chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,Ở đây đến lần đầu do gần nhà ghé qua thử.,ở đây đến lần đầu do gần nhà ghé qua thử .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}"
acsa,Đây là quán mình đến ăn với số lần nhiều nhất.,đây là quán mình đến ăn với số lần nhiều nhất .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Nhân viên phục vụ thân thiện dễ thương.,nhân viên phục vụ thân thiện dễ thương .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,- và cho mình thưởng thức món yêu thích nhất của mính nơi đây đó chính là bò nướng á nha.,- và cho mình thưởng thức món yêu thích nhất của mính nơi đây đó chính là bò nướng á nha .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Trà khá thanh không bị đặc vị trà quá.,trà khá thanh không bị đặc vị trà quá .,chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Thực sự thì Boston vẫn là nhất vẫn là số 1 =))).,thực sự thì boston vẫn là nhất vẫn là số num = ) ) ) .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"View đẹp, trang trí phong cách dân dã miền quê.","quang cảnh đẹp , trang trí phong cách dân dã miền quê .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,Thức ăn nguội.,thức ăn nguội .,chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,"Sốt kem nấm nhưng không khác sốt nấm lắm, có mùi béo tí thôi, màu sáng hơn, ngọt nhẹ.","sốt kem nấm nhưng không khác sốt nấm lắm , có mùi béo tí thôi , màu sáng hơn , ngọt nhẹ .",chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,"Hình thức trình bày đẹp mắt, sạch sẽ.","hình thức trình bày đẹp mắt , sạch sẽ .",nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Nếu bạn đi ăn 2 người thì chỉ cần gọi 1 suất chả cá và 1 suất lòng cá để thưởng thức cùng với bún và mắm tôm.,nếu bạn đi ăn num người thì chỉ cần gọi num suất chả cá và num suất lòng cá để thưởng thức cùng với bún và mắm tôm .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"Cơm hạt săn mà mềm nhé, sốt BBQ thì dễ ăn nhất quả đấy rồi, phủ ngập sốt vào sườn luôn.","cơm hạt săn mà mềm nhé , sốt bq thì dễ ăn nhất quả đấy rồi , phủ ngập sốt vào sườn luôn .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,Nghe bảo Popeyes là thương hiệu của Phillip Nguyễn thì phải :)).,nghe bảo popeyes là thương hiệu của philip nguyễn thì phải : ) ) .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,Quán nên chú ý hỏi xem khách muốn ăn lúc nào để mang đồ lên cho vừa chứ mang 1 lúc như vậy để nguội hết.,quán nên chú ý hỏi xem khách muốn ăn lúc nào để mang đồ lên cho vừa chứ mang num lúc như vậy để nguội hết .,phục vụ tạm,"{SERVICE#GENERAL, neutral}"
acsa,Mình chỉ hơi không thích rải thẳng vani đậm đặc lên kem.,mình chỉ hơi không thích rải thẳng vani đậm đặc lên kem .,lựa chọn đồ ăn tệ,"{FOOD#STYLE&OPTIONS, negative}"
acsa,"Bình thường toàn uống alisan vs oloong và aiyu, nên hoom đó quyết tâm thử món mới xem biết đâu lại ngon.","bình thường toàn uống alisan với olong và aiyu , nên hom đó quyết tâm thử món mới xem biết đâu lại ngon .",lựa chọn đồ uống tạm,"{DRINKS#STYLE&OPTIONS, neutral}"
acsa,Phần trang trí bên trên bánh thì lại khá hào phóng.,phần trang trí bên trên bánh thì lại khá hào phóng .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,"Giá cả với chất lượng là tương xứng, thêm 10 %vat nha.","giá cả với chất lượng là tương xứng , thêm num % vat nha .",vấn đề khác tạm và nhà hàng nói chung tốt và giá tiền nhà hàng tốt,"{RESTAURANT#MISCELLANEOUS, neutral}, {RESTAURANT#GENERAL, positive}, {RESTAURANT#PRICES, positive}"
acsa,Tầng 1 và tầng 2 ngồi ghế còn tầng 3 ngồi bệt.,tầng num và tầng num ngồi ghế còn tầng num ngồi bệt .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,"Mới phát hiện ra quán này siêu đẹp với tông màu trắng công chúa này, decor các góc và bàn ghế style châu Âu và tủ đựng ấm, chén siêu xinh luôn.","mới phát hiện ra quán này siêu đẹp với tông màu trắng công chúa này , trang trí các góc và bàn ghế kiểu châu âu và tủ đựng ấm , chén siêu xinh luôn .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,"Quán không có diện tích nên phải vòng qua đường Hoàng Việt gởi xe hơi bất tiện nhưng khoản nhân viên giữ xe lại rất lịch sự, dễ thương nên chấp nhận được.","quán không có diện tích nên phải vòng qua đường hoàng việt gởi xe hơi bất tiện nhưng khoản nhân viên giữ xe lại rất lịch sự , dễ thương nên chấp nhận được .",vấn đề khác tệ và phục vụ tốt,"{RESTAURANT#MISCELLANEOUS, negative}, {SERVICE#GENERAL, positive}"
acsa,Chương trình của Lotteria hôm đó hình như combo là 37k mà gồm gà và khoai tây lắc.,chương trình của loteria hôm đó hình như kết hợp là giá tiền mà gồm gà và khoai tây lắc .,giá tiền đồ ăn tạm,"{FOOD#PRICES, neutral}"
acsa,"- toast matcha:kem trà xah ngon, bánh ngon, thích nhất cái cục gì xanh xanh á 😂.","- toast matcha : kem trà xah ngon , bánh ngon , thích nhất cái cục gì xanh xanh á tốt .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Đồ ăn thì phải nói quá bình thường.,đồ ăn thì phải nói quá bình thường .,chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,Với thịt bò úc thơm ngon vừa dai vừa mềm cộng với phần nướng vừa chính 100 nên mình cảm thấy ăn rất ngon.,với thịt bò úc thơm ngon vừa dai vừa mềm cộng với phần nướng vừa chính num nên mình cảm thấy ăn rất ngon .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Nhân viên lễ phéo.,nhân viên lễ phéo .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Hẹn giao hàng nhanh chóng, đúng giờ.","hẹn giao hàng nhanh chóng , đúng giờ .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Ngon và tốt cho sức khoẻ, các bạn nhân viên tư vấn nhiệt tình.","ngon và tốt cho sức khoẻ , các bạn nhân viên tư vấn nhiệt tình .",nhà hàng nói chung tốt và phục vụ tốt,"{RESTAURANT#GENERAL, positive}, {SERVICE#GENERAL, positive}"
acsa,Quán lại chỉ cho tương ớt ko có tương gà.,quán lại chỉ cho tương ớt không có tương gà .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,Mình gọi top blade 150k với sốt nấm + súp bí đỏ.,mình gọi hạng blade giá tiền với sốt nấm + súp bí đỏ .,giá tiền đồ ăn tạm và lựa chọn đồ ăn tạm,"{FOOD#PRICES, neutral}, {FOOD#STYLE&OPTIONS, neutral}"
